,node.id,symbol
684,732446,PRKCZ
685,736268,FCGR2C
686,727206,NLGN4X
687,720766,CCKBR
688,705727,PAPSS1
689,729651,TEC
690,724964,COX6A2
691,708435,ALOX15B
692,714821,PYCRL
693,714656,MTHFD1
694,738646,MYC
695,725739,BMP4
696,726274,PLA2G1B
697,720724,CACNA1A
698,711518,CARS
699,725033,PPP1R12A
700,704227,AADAT
701,733156,IRS1
702,718785,TTC37
703,731659,OR2C3
704,732434,GCK
705,727942,GUCY1A2
706,738265,TCF7L1
707,739599,BAD
708,711985,ADH6
709,723596,UBQLNL
710,730777,PPP1R1A
711,728762,IKBKB
712,722505,ORC1
713,705234,IL4I1
714,734494,ATP1B1
715,731499,OR6C2
716,731955,PIP4K2C
717,706392,ST6GAL1
718,727666,CLDN8
719,720440,EREG
720,707924,PIGM
721,727767,CTNNB1
722,725354,DAAM2
723,730841,PIK3CA
724,735681,CRKL
725,735932,ATP6V1C1
726,729295,IFNGR2
727,727732,MYH14
728,735453,GRM1
729,714611,POLR2C
730,722145,S1PR4
731,714637,POLE
732,723232,CBLC
733,736132,CDC42
734,731420,OR5A2
735,709566,ACAT2
736,740676,CACNA2D1
737,737741,LEF1
738,719561,POLD3
739,726300,AKT3
740,730459,PLCG1
741,739226,FGF2
742,733560,CREB3L3
743,736823,PIK3CB
744,735268,PPP3CC
745,724643,EIF4EBP1
746,723434,ATG12
747,720596,VDAC3
748,720926,INHBA
749,736900,TNFRSF1A
750,732860,BRAF
751,740766,IGF1
752,732990,MC1R
753,738894,TCF7L2
754,724636,ULK2
755,704627,GLUD2
756,729248,HLA-DRB1
757,738892,LEF1
758,714533,GANC
759,729131,GH2
760,716699,PIP5K1A
761,708069,CHPT1
762,724540,ACOX1
763,718373,NXT2
764,732554,ADCY1
765,726044,FYN
766,722548,CDC14B
767,735859,PRKX
768,733467,ATP1B1
769,735428,EP300
770,738314,TGFB1
771,730914,NFKBIB
772,735570,PRKACG
773,736441,IL12A
774,735470,PPID
775,723580,ERN1
776,728258,KLRC3
777,723659,ERP29
778,705592,GAD2
779,735677,PXN
780,716705,PLCD3
781,708312,PPAP2C
782,723025,ZMAT3
783,702665,PDE4A
784,730620,CSNK1E
785,737455,PSME3
786,736477,GNAI3
787,726734,ACTN3
788,726454,PIK3CA
789,727256,ITGAM
790,731444,OR10J1
791,706347,ALG6
792,726839,PDGFRA
793,736299,HLA-DRB3
794,729421,FASLG
795,720742,GRPR
796,729668,PAK2
797,739441,IKBKB
798,702764,AMPD3
799,725120,PLA2G4E
800,734058,KCNQ1
801,740145,HLA-DRB4
802,727746,RRAS2
803,729174,ITGA5
804,731157,PLA2G4A
805,722518,ANAPC11
806,727723,MYH7
807,715237,CMPK2
808,727302,CLDN23
809,735462,ITPR1
810,715793,ALDH1A1
811,731543,OR5T1
812,726830,GRB2
813,726126,KRAS
814,736965,IL1B
815,731991,MYL10
816,737712,PLCG1
817,720094,TGFB3
818,740895,RAC2
819,719969,CACNB2
820,739733,PIK3R2
821,708889,B3GNT4
822,737707,RET
823,708784,SPTLC2
824,730835,NTRK3
825,732297,PRKAB2
826,736864,LAMA1
827,735076,NDUFS1
828,700508,UGT1A1
829,710380,NADK
830,730031,PLA2G4B
831,707779,INPP1
832,715564,GALNT3
833,723997,CLTC
834,724814,PIK3R3
835,731449,OR12D2
836,724764,CASP9
837,708144,AGPAT9
838,725875,INHBB
839,704223,AASS
840,711804,UGT2A3
841,707336,HEXA
842,715362,LPCAT1
843,714885,TH
844,739436,NFKBIA
845,732822,GNAI1
846,732412,SORBS1
847,707799,PIP5KL1
848,727447,CTNNA3
849,730158,VAV1
850,739563,RUNX1
851,707768,INPPL1
852,714726,UGT2A2
853,726997,LAMB4
854,700672,PFKL
855,735535,CREB5
856,738551,CCND1
857,735503,AP2A2
858,718367,NXF2B
859,737411,EGFR
860,733105,PRKAA1
861,708772,PPAP2C
862,721417,JAK2
863,708792,NEU1
864,726697,ROCK2
865,727973,PDGFB
866,740843,HLA-B
867,735660,ITGB1
868,726483,JUND
869,718486,EIF4A1
870,737082,PRKACA
871,720015,MAPK7
872,706432,ALG10
873,707790,MIOX
874,724980,MT-CO3
875,714571,NT5E
876,720425,PRKCB
877,715742,CMBL
878,736483,GNA15
879,726806,BIRC2
880,720088,IL1R2
881,706210,GBE1
882,730368,PIK3R3
883,710360,NT5C1A
884,719845,PPM1B
885,721531,PRKCD
886,704274,ALDH9A1
887,736773,IL12B
888,732836,MAPK14
889,731962,DIAPH2
890,737019,RAB7B
891,703816,SDS
892,719556,POLE
893,733457,SCNN1A
894,712312,UGT2B15
895,728370,CHUK
896,709874,ECHS1
897,715426,PTGS2
898,737876,E2F3
899,714708,PGD
900,716756,PIK3C2G
901,720070,TAB1
902,702698,POLR2A
903,738455,PIK3R5
904,736266,FCGR3A
905,727449,CTNND1
906,728853,PYCARD
907,710802,UGT2B4
908,719922,RASGRP1
909,738609,APC2
910,740723,TPM1
911,725077,PLCB2
912,714573,NT5M
913,731594,OR5C1
914,711983,ADH4
915,731216,MAP2K1
916,738316,TGFB3
917,707913,DPM2
918,726279,PLA2G12A
919,719989,FGF6
920,737431,PIK3CD
921,729970,MAPK14
922,706423,DPAGT1
923,731514,OR13H1
924,732089,ITGA6
925,715890,ENO3
926,714715,UGT2A1
927,737460,PDK1
928,718440,EIF3C
929,733926,GAST
930,728917,CCL4L2
931,731624,OR2C1
932,727931,TUBA1B
933,735494,CLTA
934,726768,COL6A3
935,702777,ADA
936,739497,MAPK1
937,700104,PGK2
938,720404,MAPK8
939,706443,DDOST
940,721380,PF4V1
941,729062,MPL
942,711558,YARS
943,721513,ADCY5
944,731002,CALML5
945,740678,CACNB2
946,740829,HLA-DQB1
947,712319,CYP3A5
948,739245,PDGFB
949,740868,ACTB
950,722788,ANAPC5
951,727668,CLDN2
952,727868,PRKCB
953,712306,UGT1A1
954,721397,CCL17
955,715402,ALOX12B
956,723824,CTSF
957,715211,ADK
958,728405,IKBKB
959,725780,PRKACG
960,729839,JUN
961,725297,PRKCB
962,715929,QARS
963,734165,RAB11A
964,725790,GLI3
965,727459,CREBBP
966,736534,FAS
967,700266,CS
968,718386,NUP98
969,740740,ADCY1
970,727170,PTPRC
971,704480,GLUL
972,707680,LPL
973,707872,CDIPT
974,740817,CCND1
975,722033,P2RX7
976,737400,MAPK12
977,738467,AKT1
978,702870,C17orf48
979,734513,ADCY7
980,721389,CCL5
981,716778,TST
982,738942,IKBKG
983,739151,WNT9A
984,705996,GCLC
985,700815,HK2
986,735143,ATP5G2
987,702801,GDA
988,718350,NHP2
989,725797,SMO
990,730591,IL2
991,730995,YWHAH
992,730316,CLDN16
993,730005,LAT
994,729407,SHC3
995,700355,RPE
996,715772,LIAS
997,715419,CYP4F3
998,736084,TUBB
999,720092,TGFB1
1000,712249,TPMT
1001,733091,ACSL3
1002,732811,RPS6KA6
1003,701302,ECHS1
1004,715052,FBP1
1005,734869,ATP5A1
1006,706175,UGT1A10
1007,726139,SEMA3F
1008,738278,TGFBR2
1009,715570,GALNT10
1010,709763,MCEE
1011,738325,SLC2A1
1012,736423,MAPK10
1013,733814,AMY1A
1014,703510,GLUL
1015,739615,AKT3
1016,739906,MAPK3
1017,706940,PGM3
1018,716723,INPP1
1019,728413,IL8
1020,734423,COL3A1
1021,734931,CACNA1D
1022,730558,HLA-DPA1
1023,708142,GPAT2
1024,724809,PIK3CB
1025,725881,LEFTY1
1026,727922,ADCY5
1027,700068,PFKP
1028,722277,MC1R
1029,714674,LDHAL6A
1030,702178,HSD11B2
1031,734404,SLC8A2
1032,740011,HLA-DMB
1033,722309,AGTR1
1034,716871,GALNS
1035,737206,FCGR3B
1036,734372,CPA2
1037,722213,PTGER3
1038,740340,HLA-DQB1
1039,733714,ADRB2
1040,731350,OR14C36
1041,714814,OGDH
1042,736317,IL4
1043,725913,SMAD5
1044,734210,ATP1B3
1045,708782,SPTLC1
1046,703964,AOX1
1047,704912,AOC2
1048,710502,UPB1
1049,731373,OR1L8
1050,722783,ANAPC10
1051,707542,B3GAT1
1052,735325,NDUFA5
1053,728125,SERPING1
1054,701812,CYP27A1
1055,734038,ITPR1
1056,739772,NFKBIA
1057,724592,XDH
1058,706670,B4GALT5
1059,722185,CNR1
1060,700009,ALDH9A1
1061,718359,ACIN1
1062,731347,OR2M5
1063,724143,RAB11FIP3
1064,727916,TUBB6
1065,722270,GPR83
1066,727000,LAMA3
1067,723578,ATF6
1068,740447,CACNA2D1
1069,715504,CYP2A6
1070,734854,CYC1
1071,740341,HLA-DRA
1072,712390,ACOT1
1073,708332,PLA2G2D
1074,714493,HSD11B2
1075,724563,EHHADH
1076,732311,PPP1R3D
1077,728875,IFNA16
1078,738408,ARAF
1079,736228,DIAPH1
1080,738638,SOS2
1081,733154,TRAF2
1082,726728,ZYX
1083,735270,PPP3R2
1084,720355,GRB2
1085,731682,GUCA1A
1086,733675,ATP6V0C
1087,723142,FBXW7
1088,739292,ARAF
1089,730704,PPP3CA
1090,701758,LIPA
1091,716697,OCRL
1092,731495,OR2AG2
1093,703205,NME2
1094,729392,BRAF
1095,715689,ST3GAL6
1096,733779,CALM2
1097,734069,FXYD2
1098,738497,RALGDS
1099,710724,RETSAT
1100,724380,TUBB2B
1101,733768,PRKCB
1102,728911,POLR3D
1103,737894,BMP4
1104,732120,KRAS
1105,708131,MBOAT2
1106,724333,PIK3C3
1107,733411,PAX4
1108,734955,NOS1
1109,715303,PLA2G12B
1110,726761,COL4A4
1111,730182,WAS
1112,728441,TLR5
1113,736405,CALR
1114,729598,AKT2
1115,707876,PIK3C2B
1116,720744,HTR2A
1117,731451,OR10H3
1118,707785,ISYNA1
1119,729316,ZAP70
1120,727442,SMAD4
1121,739076,PAX8
1122,704596,ALDH9A1
1123,720971,EGFR
1124,734355,FXYD2
1125,737563,LAMA4
1126,728735,IRF3
1127,706986,GMPPB
1128,731648,OR4P4
1129,737303,NFKBIA
1130,721530,PRKCB
1131,708151,GPD2
1132,733071,NFKBIB
1133,709858,ACAT2
1134,714623,POLR1E
1135,721735,PIK3CD
1136,733982,CALM1
1137,732407,FBP1
1138,729046,IL4R
1139,722021,GRIN1
1140,734380,PGA5
1141,737599,CRKL
1142,722241,GALR1
1143,720784,SLC25A31
1144,701761,SOAT1
1145,729441,KIR2DS1
1146,724377,TUBB4B
1147,733907,ITPR1
1148,729056,IL12RB2
1149,725046,PRKCD
1150,736727,TAB2
1151,720103,RAC1
1152,706016,GSTZ1
1153,735113,COX5B
1154,720118,MAPK8IP1
1155,737298,NFKB1
1156,738388,PIK3R5
1157,725824,LTBP1
1158,722624,CCNB2
1159,729243,IL2RA
1160,715705,B3GALT1
1161,733123,CAMKK1
1162,729014,CBLC
1163,715681,B4GALT4
1164,715192,ATP6V1G1
1165,709849,ALDH7A1
1166,706046,GSR
1167,715888,ENO1
1168,738882,RELA
1169,739874,NRAS
1170,740400,CD8A
1171,734366,CELA3B
1172,722559,SFN
1173,720759,BDKRB2
1174,721743,PIP5K1A
1175,704869,ADH5
1176,738374,PAK7
1177,711795,UGT1A4
1178,701381,ECHS1
1179,703465,DDO
1180,711020,FECH
1181,706396,MGAT2
1182,733989,MYLK2
1183,739603,RPS6KB2
1184,715182,ATP6V1E1
1185,710987,UGT1A6
1186,737845,JUP
1187,736765,GNAO1
1188,727688,EPB41L3
1189,715355,LPCAT4
1190,729284,PPP3CB
1191,722002,GLRA1
1192,732353,FOXO1
1193,706947,NANP
1194,721769,DGKI
1195,721368,CCL26
1196,735229,TNFRSF1A
1197,732370,MAP2K1
1198,734097,PRSS1
1199,739248,FGF23
1200,720034,ATF2
1201,716938,PFKM
1202,706020,MGST3
1203,731436,OR2B6
1204,724116,SH3KBP1
1205,728256,KLRC1
1206,721489,GRK4
1207,730194,PLD2
1208,734508,ADCY1
1209,730547,CD28
1210,722139,LTB4R2
1211,721492,GRK1
1212,703924,HMGCS1
1213,715557,GALNT6
1214,726090,EFNB2
1215,715500,NAT2
1216,709576,DLD
1217,719432,ACSL5
1218,735869,ACTG1
1219,736219,ACTB
1220,715578,ST6GALNAC1
1221,716714,PLCD4
1222,734966,CALM2
1223,722840,CALML5
1224,737077,PLCB4
1225,726078,EPHA3
1226,721678,PLCB3
1227,733140,TNFRSF1B
1228,722825,CAMK2D
1229,724185,EHD3
1230,719862,PLA2G5
1231,711801,UGT2B10
1232,712013,UGT2A1
1233,734439,COL12A1
1234,727092,AGRN
1235,740469,ITGA9
1236,733259,IRS4
1237,740042,HLA-C
1238,729169,ITGA6
1239,730723,RPS6KA3
1240,739886,RB1
1241,727482,ERBB2
1242,733966,GNAI2
1243,725501,WNT10B
1244,729888,RAF1
1245,706878,LFNG
1246,723505,SEC61G
1247,702199,UGT2B7
1248,729636,NFATC2
1249,714780,ASS1
1250,735858,PRKACG
1251,724341,RAB7B
1252,732146,FGF3
1253,733886,ADCY6
1254,711944,CYP3A5
1255,739639,RAF1
1256,740686,ATP2A2
1257,716921,SUCLG1
