,matlab,python,delta
205507_at,-128.26591000000002,126.71987693597369,1.5460330640263322
205508_at,-121.083451,124.15709576994303,-3.07364476994303
205509_at,-194.649196,197.91279336448875,-3.26359736448876
205510_s_at,-116.132617,117.88488057112541,-1.752263571125411
205511_at,-88.66362,95.9543583273084,-7.290738327308404
205512_s_at,-147.70926200000002,147.3092482481379,0.40001375186213295
205513_at,-208.410981,207.90373265448568,0.5072483455143129
205514_at,-216.38756099999998,203.35488068691654,13.032680313083432
205515_at,-192.864203,192.20634059123668,0.6578624087633216
205516_x_at,-134.61551200000002,139.4509519526649,-4.835439952664871
205517_at,-178.634244,187.60299951712813,-8.96875551712813
205518_s_at,-152.30684499999998,151.99661991227728,0.3102250877226993
205519_at,-162.889712,162.4092797122178,0.48043228778220737
205520_at,-186.101889,186.09970854540651,0.0021804545934855923
205521_at,-154.236843,153.66268275140757,0.5741602485924204
205522_at,-183.419277,183.6052674552139,-0.18599045521389712
205523_at,-210.093592,207.7470195909414,2.3465724090586093
205524_s_at,-173.32613,180.55116416569444,-7.225034165694439
205525_at,-72.895397,81.4483417365213,-8.552944736521297
205526_s_at,-112.785533,114.58275302765452,-1.797220027654518
205527_s_at,-175.801471,173.62546124917503,2.17600975082496
205528_s_at,-194.438817,189.47422656511276,4.964590434887242
205529_s_at,-95.91294,127.79360376075027,-31.880663760750267
205530_at,-155.66596299999998,154.26898698803626,1.3969760119637158
205531_s_at,-152.116882,158.38233636423445,-6.265454364234444
205532_s_at,-176.797301,177.23628136855868,-0.43898036855867417
205533_s_at,-191.73761100000002,190.99826605541404,0.7393449445859801
205534_at,-196.61924,207.35360440887916,-10.734364408879173
205535_s_at,-198.73939099999998,200.10253187617738,-1.3631408761773969
205536_at,-158.74580600000002,158.98207850082724,-0.2362725008272264
205537_s_at,-177.893526,182.3115227591257,-4.4179967591256855
205538_at,-158.19338,158.2194662426179,-0.026086242617907374
205539_at,-181.958484,181.88567724436876,0.07280675563123395
205540_s_at,-200.307627,203.85871788172113,-3.5510908817211373
205541_s_at,-193.929609,194.91817932258996,-0.9885703225899647
205542_at,-136.885556,138.49556527712198,-1.610009277121975
205543_at,-166.37871,161.84250113052806,4.536208869471949
205544_s_at,-185.512318,186.90651509644076,-1.394197096440763
205545_x_at,-97.62472199999999,97.64621439349398,-0.02149239349398613
205546_s_at,-162.057495,162.06130045851774,-0.003805458517746274
205547_s_at,-147.51171599999998,146.70704146091623,0.8046745390837486
205548_s_at,-134.76321399999998,134.5835224931953,0.17969150680468715
205549_at,-204.641704,202.51227410452466,2.12942989547534
205550_s_at,-69.057331,78.03231388983616,-8.974982889836156
205551_at,-201.917934,205.76829033227807,-3.850356332278068
205552_s_at,-180.418722,180.39134485402448,0.02737714597552099
205553_s_at,-114.823297,118.87807365715156,-4.054776657151564
205554_s_at,-152.308177,152.43105365463,-0.12287665463000508
205555_s_at,-189.15006499999998,186.97775547989707,2.172309520102914
205556_at,-179.886814,182.72647244073798,-2.839658440737992
205557_at,-186.550223,190.83471742921256,-4.284494429212572
205558_at,-134.420539,134.39467483053284,0.025864169467155307
205559_s_at,-177.86292,180.05557127005287,-2.1926512700528633
205560_at,-191.417293,192.81309449999023,-1.3958014999902275
205561_at,-165.082151,169.25854672555397,-4.176395725553959
205562_at,-136.788425,134.94335267826375,1.8450723217362395
205563_at,-110.065574,119.55731134513995,-9.491737345139953
205564_at,-160.400172,160.2250306544242,0.17514134557580974
205565_s_at,-151.77611100000001,148.62770534190008,3.1484056580999322
205566_at,-92.349701,117.43910286129578,-25.089401861295784
205567_at,-67.910489,67.99633084077873,-0.08584184077872692
205568_at,-191.209319,193.79328641560775,-2.583967415607759
205569_at,-165.479105,172.85723239131028,-7.378127391310272
205570_at,-146.158975,148.4969641454664,-2.337989145466395
205571_at,-151.596301,151.24366912088482,0.35263187911519367
205572_at,-193.337496,199.41879935484437,-6.08130335484438
205573_s_at,-151.35052,150.73144922505324,0.6190707749467492
205574_x_at,-194.21009899999999,193.59821327679938,0.6118857232006008
205575_at,-172.946303,173.79237590317135,-0.846072903171347
205576_at,-182.262049,185.4665097436755,-3.2044607436754973
205577_at,-192.564558,195.67832193786177,-3.113763937861762
205578_at,-180.67842,187.77915631851457,-7.100736318514578
205579_at,-135.327054,133.9797527799865,1.3473012200134917
205580_s_at,-160.481391,158.9468310159152,1.534559984084808
205581_s_at,-161.482674,167.0051536403627,-5.52247964036269
205582_s_at,-149.14605600000002,153.08999258155282,-3.943936581552805
205583_s_at,-112.63354,113.1445672115749,-0.5110272115748984
205584_at,-186.025592,186.21989836758684,-0.19430636758684727
205585_at,-168.395456,169.87388933892143,-1.478433338921434
205586_x_at,-123.81645300000001,128.69577406054415,-4.879321060544143
205587_at,-151.415059,158.92788372524456,-7.512824725244542
205588_s_at,-79.59644899999999,88.98307944014802,-9.386630440148025
205589_at,-159.45999,160.8697723547865,-1.4097823547865005
205590_at,-149.937427,156.88498754460153,-6.947560544601515
205591_at,-201.45543,201.53731111788665,-0.08188111788663832
205592_at,-121.200076,121.74697858946332,-0.546902589463329
205593_s_at,-176.144502,186.15049009337943,-10.005988093379443
205594_at,-50.113002,56.830504218650404,-6.717502218650402
205595_at,-185.80021599999998,186.73551718800064,-0.9353011880006648
205596_s_at,-89.426001,89.82924856107124,-0.4032475610712396
205597_at,-181.791632,181.67414931629403,0.11748268370595838
205598_at,-111.86575500000001,112.09153595194041,-0.2257809519404077
205599_at,-191.209674,191.40082347645082,-0.1911494764508177
205600_x_at,-117.295902,118.22251973261784,-0.9266177326178422
