hsa:1	A1BG
hsa:100302155	MIR1256
hsa:100302156	MIR1229
hsa:100302157	MIR1185-1
hsa:100302158	MIR1231
hsa:100302159	MIR548F3
hsa:100302160	MIR1233-1
hsa:100302161	MIR1205
hsa:100302163	MIR1278
hsa:100302164	MIR2113
hsa:100302166	MIR1322
hsa:100302167	MIR1299
hsa:100302168	MIR1257
hsa:100302169	MIR320D2
hsa:100302170	MIR1206
hsa:100302171	MIR1321
hsa:100302172	MIR1258
hsa:100302174	MIR1307
hsa:100302175	MIR1207
hsa:100302177	MIR1269A
hsa:100302178	MIR1295A
hsa:100302179	MIR1270
hsa:100302181	MIR1294
hsa:100302182	MIR1279
hsa:100302183	MIR1825
hsa:100302184	MIR1272
hsa:100302185	MIR1204
hsa:100302186	MIR548I3
hsa:100302187	MIR1297
hsa:100302188	MIR1243
hsa:100302190	MIR1976
hsa:100302191	MIR548I4
hsa:100302192	MIR548F1
hsa:100302193	MIR1255A
hsa:100302195	MIR320C2
hsa:100302196	MIR1234
hsa:100302197	MIR1306
hsa:100302201	MIR1228
hsa:100302202	MIR1266
hsa:100302203	MIR1271
hsa:100302204	MIR548I1
hsa:100302205	MIR1283-2
hsa:100302208	MIR1253
hsa:100302209	MIR1185-2
hsa:100302210	MIR1909
hsa:100302211	MIR1203
hsa:100302212	MIR1324
hsa:100302213	MIR1181
hsa:100302214	MIR1277
hsa:100302217	MIR1827
hsa:100302218	MIR1285-1
hsa:100302219	MIR1245A
hsa:100302220	MIR1293
hsa:100302221	MIR1291
hsa:100302222	MIR1911
hsa:100302223	MIR1302-8
hsa:100302224	MIR2110
hsa:100302225	MIR2053
hsa:100302226	MIR1238
hsa:100302227	MIR1302-1
hsa:100302228	MIR1261
hsa:100302229	MIR1250
hsa:100302232	MIR1226
hsa:100302233	MIR1268A
hsa:100302234	MIR664A
hsa:100302235	MIR1179
hsa:100302236	MIR1260A
hsa:100302237	MIR1281
hsa:100302238	MIR103B1
hsa:100302239	MIR548F5
hsa:100302240	MIR1304
hsa:100302242	MIR1236
hsa:100302243	MIR1972-1
hsa:100302246	MIR1301
hsa:100302250	MIR1197
hsa:100302251	MIR1264
hsa:100302254	MIR1282
hsa:100302255	MIR1323
hsa:100302256	MIR1180
hsa:100302257	MIR1539
hsa:100302258	MIR1469
hsa:100302259	MIR1202
hsa:100302260	MIR2052
hsa:100302261	MIR1910
hsa:100302263	MIR1908
hsa:100302265	MIR1283-1
hsa:100302267	MIR2054
hsa:100302268	MIR1285-2
hsa:100302270	MIR1305
hsa:100302274	MIR1178
hsa:100302275	MIR548L
hsa:100302276	MIR1290
hsa:100302277	MIR548I2
hsa:100302278	MIR1302-2
hsa:100302279	MIR1262
hsa:100302280	MIR1237
hsa:100302281	MIR1208
hsa:100302282	MIR103B2
hsa:100302283	MIR1227
hsa:100302284	MIR1303
hsa:100302285	MIR1244-1
hsa:100302286	MIR1267
hsa:100302287	MIR548H3
hsa:100302288	MIR548P
hsa:100302289	MIR1251
hsa:100302290	MIR1973
hsa:100302652	GPR75-ASB3
hsa:100302736	TMED7-TICAM2
hsa:100302743	SNORA80B
hsa:100303755	PET117
hsa:100310812	SPDYE2B
hsa:100310846	ANKRD61
hsa:100313769	MIR320B2
hsa:100313770	MIR548K
hsa:100313771	MIR548F2
hsa:100313772	MIR548M
hsa:100313773	MIR548H2
hsa:100313774	MIR302E
hsa:100313777	MIR670
hsa:100313778	MIR759
hsa:100313779	MIR2117
hsa:100313780	MIR2278
hsa:100313781	MIR718
hsa:100313806	MIR1255B1
hsa:100313822	MIR513B
hsa:100313824	MIR663B
hsa:100313829	MIR548O
hsa:100313830	MIR548H1
hsa:100313835	MIR1255B2
hsa:100313837	MIR762
hsa:100313838	MIR764
hsa:100313839	MIR2114
hsa:100313840	MIR2115
hsa:100313841	MIR548Q
hsa:100313842	MIR2276
hsa:100313843	MIR711
hsa:100313884	MIR548H4
hsa:100313886	MIR2116
hsa:100313887	MIR2277
hsa:100313892	MIR761
hsa:100313895	MIR548F4
hsa:100313896	MIR320D1
hsa:100313914	MIR548J
hsa:100313921	MIR548E
hsa:100313923	MIR449C
hsa:100313938	MIR548G
hsa:100316904	SAP25
hsa:100329135	TRPC5OS
hsa:100337591	SNORA70F
hsa:10036	CHAF1A
hsa:100379132	SNORA70G
hsa:100379141	SNORA70D
hsa:100379250	SNORA70E
hsa:100379251	NPPA-AS1
hsa:100379571	BACE1-AS
hsa:10038	PARP2
hsa:100381270	ZBED6
hsa:10039	PARP3
hsa:1004	CDH6
hsa:10040	TOM1L1
hsa:100419008	PRR20G
hsa:10042	HMGXB4
hsa:100422821	MIR1273C
hsa:100422823	MIR4300
hsa:100422824	MIR3128
hsa:100422825	MIR3160-2
hsa:100422826	MIR4274
hsa:100422827	MIR3160-1
hsa:100422828	MIR4287
hsa:100422829	MIR4319
hsa:100422830	MIR3171
hsa:100422831	MIR1302-9
hsa:100422832	MIR3191
hsa:100422833	MIR3188
hsa:100422834	MIR1302-10
hsa:100422835	MIR3183
hsa:100422836	MIR3180-3
hsa:100422837	MIR1193
hsa:100422838	MIR3195
hsa:100422839	MIR3119-1
hsa:100422840	MIR4317
hsa:100422841	MIR3174
hsa:100422842	MIR3074
hsa:100422843	MIR4293
hsa:100422844	MIR3118-3
hsa:100422845	MIR1233-2
hsa:100422846	MIR3164
hsa:100422847	MIR514B
hsa:100422848	MIR4283-2
hsa:100422849	MIR548T
hsa:100422850	MIR548V
hsa:100422851	MIR4316
hsa:100422852	MIR4259
hsa:100422853	MIR3182
hsa:100422854	MIR3187
hsa:100422855	MIR4301
hsa:100422856	MIR3123
hsa:100422857	MIR4318
hsa:100422858	MIR4285
